9,1,705,6773,14.0,running,5834714,447412,-3485,-296,31.1,306,9265,13175,4
9,1,137,6101,4.9,ended,5836485,449586,-1410,1631,11.2,1676,1720,20720,704
Car Id,Tramo Id,UTM Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
9,1,0,6347,0.0,start,5836375,448342,-1520,388,-1.0,0,0,22441,10
9,1,1,6367,0.0,running,5836366,448334,-1529,379,0.0,20,0,22441,8
9,1,15,6477,33.6,running,5836268,448460,-1627,506,1.6,130,184,22257,3
9,1,87,6507,26.3,running,5836108,449109,-1787,1154,29.2,160,1060,21380,8
9,1,118,6517,45.8,running,5836424,449363,-1471,1408,40.9,170,1470,20970,7
9,1,164,6537,17.9,running,5836312,449855,-1583,1901,29.2,190,2055,20386,1
9,1,185,6547,30.1,running,5836111,449695,-1784,1741,27.5,200,2330,20110,8
9,1,230,6567,41.3,running,5835759,449616,-2136,1662,29.3,220,2917,19523,5
9,1,255,6577,29.6,running,5835581,449853,-2314,1898,31.2,230,3229,19211,6
9,1,305,6597,25.9,running,5835260,449423,-2635,1469,32.7,250,3883,18557,2
9,1,343,6617,33.9,running,5835175,449229,-2720,1275,25.0,270,4385,18055,3
9,1,364,6629,30.7,running,5835222,449098,-2673,1143,24.1,282,4675,17765,4
9,1,414,6653,36.0,running,5835154,448714,-2741,760,27.8,306,5343,17097,4
9,1,442,6663,39.1,running,5834977,448433,-2918,479,34.1,316,5685,16755,3
9,1,508,6683,49.9,running,5834194,448074,-3701,119,44.2,336,6570,15870,5
9,1,531,6693,26.1,running,5833916,447950,-3979,-3,33.3,346,6903,15537,5
9,1,572,6713,21.9,running,5834313,447757,-3582,-196,27.2,366,7448,14992,11
9,1,613,6733,37.7,ended,5834367,447666,-3528,-288,25.9,386,7967,14473,35
